Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.012700,0.000000,0
Solver,2.240300,15.989067,3.58203e+07
Richards Exclude 1st Time Step,1.672700,11.245965,1.88111e+07
Solver Cleanup,0.000900,0.000000,0
Matvec,0.000000,0.000000,0
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.715800,0.000000,0
CLM,0.000700,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.069500,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.061700,0.000000,0
SubsrfSim,0.000000,0.000000,0
Porosity,0.000000,0.000000,0
PhaseRelPerm,0.114200,0.013634,1557
PFMG,0.038800,0.000000,0
HYPRE_Copies,0.039100,0.000000,0
NL_F_Eval,0.802600,0.001618,1299
KINSol,1.219800,29.365721,3.58203e+07
Total Runtime,2.348700,-nan,0
