Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.011100,0.000000,0
Solver,1.939300,16.043520,3.11132e+07
Richards Exclude 1st Time Step,1.646700,16.879557,2.77956e+07
Solver Cleanup,0.001100,0.000000,0
Matvec,0.000000,0.000000,0
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.599300,0.000000,0
CLM,0.000800,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.073400,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.066300,0.000000,0
SubsrfSim,0.000100,0.000000,0
Porosity,0.000000,0.000000,0
PhaseRelPerm,0.049300,0.026856,1324
PFMG,0.036500,0.000000,0
HYPRE_Copies,0.035000,0.000000,0
NL_F_Eval,0.650300,0.001670,1086
KINSol,1.028100,30.262814,3.11132e+07
Total Runtime,2.046500,-nan,0
